begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
90048,90071,tführer in sträflicher Flucht.,"O komm, mein Geliebter!",Wo bleibst du und säumest? Bef,0,"transfer(beatrice, audience, in_love_with(beatrice, LOVER[BEATRICE]))",false
98517,98534,"dir zu nennen.
              –",Ich bin Don Cesar,"und in dieser Stadt
          ",1,"transfer(TYP-AUS-KIRCHE, beatrice, identity(TYP-AUS-KIRCHE, don_cesar))",false
146273,146299,"      
            DON MANUEL.",Don Cesar ist mein Bruder.,"BEATRICE.
            Ist dein",2,"transfer(don_manuel, beatrice, siblings(don_manuel, don_cesar))",false
74063,74087,"
              Der einzge Bote",zwischen Kind und Mutter,".
            
          
    ",3,Papierkorb,false
194287,195031,"            Was ist dir? Gott!","DON CESAR.
            
              Verflucht der Schoß, der mich
              Getragen! – Und verflucht sei deine Heimlichkeit,
              Die all dies Gräßliche verschuldet! Falle
              Der Donner nieder, der dein Herz zerschmettert,
              Nicht länger halt ich schonend ihn zurück –
              Ich selber, wiß es, ich erschlug den Bruder,
              In ihren Armen überrascht ich ihn,
              Sie ist es, die ich liebe, die zur Braut
              Ich mir gewählt – den Bruder aber fand ich
              In ihren Armen – alles weißt du nun!
              – Ist sie wahrhaftig seine, meine Schwester,
              So bin ich schuldig einer Greueltat,
               Die keine Reu und Büßung kann versöhnen!","CHOR.
            
           ",4,"transfer(don_cesar, isabella, identity(FIANCEE[DON_CESAR], beatrice))",false
77945,77965,"           Nicht will ich, daß",Don Manuels Verlobte,"Als eine Heimatlose, Flüchtige",5,"transfer(don_manuel, chor, engaged(don_manuel, LOVER[DON_MANUEL]))",false
178064,178104,"        
            ISABELLA.","Ich, deine Mutter, bin Messinas Fürstin.","BEATRICE.
            Du bist ",6,"transfer(isabella, beatrice, parent_of(isabella, beatrice))",false
95000,95084,Don Cesar. Beatrice. Der Chor.,"BEATRICE
            mit Schrecken zurückfliehend.
            Weh mir! Was seh ich!","In demselben Augenblick tritt ",7,"transfer(beatrice, [audience, don_cesar, chor], !in_love_with(beatrice, don_cesar))",false
123466,123481," an.
              Wo ist sie?",Wo ist Beatrice,"?
            
            Wil",8,"transfer(isabella, [audience, don_manuel, don_cesar], has_name(CHILD[ISABELLA], ""Beatrice""))",false
65427,65577,e mir das freudige Erschrecken,"Der überraschten, hocherstaunten Braut,
              Wenn ich als Fürstin sie und Herrscherin
              Durch dieses Hauses Pforten führen werde.",– Noch liebt sie nur den Liebe,9,"transfer(don_manuel, [audience,chor], in_love_with(don_manuel, LOVER[DON_MANUEL]))",false
