begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
145055,145098,"E.
            Mühselig genug.",Die Mutter dieses Kindes war meine Leiterin,"; sie ging eines Tags aus
    ",0,"transfer(marthe, laeuffer, parent_of(PARENT[CHILD], CHILD[PARENT]))",false
165023,165126,müssen mehr Bestätigung haben.,"Du weißt, daß du ihm einmal im Rausch erzählt hast, daß
              du in deine Kusine verliebt wärst","; siehst du, das hat die maliz",1,"transfer(paetus, [audience, fritz], transfer(fritz, seiffenblase, in_love_with(fritz, gustchen)))",false
190118,190237,"         
            LÄUFFER.","Komm zu deinem Vater, Lise! seine Einwilligung noch und ich bin der glücklichste
              Mensch auf dem Erdboden!","Eilfte Szene
          Zu Inst",2,"transfer(laeuffer, audience, engaged(laeuffer, lise))",false
117857,117890,"          
            MARTHE.","Aber wo wollt Ihr denn hin, Grete",", daß Gott erbarm! da Ihr noch",3,"transfer(marthe, audience, has_name(gustchen, ""Grete""))",false
68772,68801,", was
              ich leide.",Küßt Läuffers Hand inbrünstig,". O göttlicher Romeo!
        ",4,"transfer(""Inbrünstiger Kuss"", audience, in_love_with(gustchen, laeuffer))",false
7044,7053," ... Läuffer! nicht furchtsam!",Mein Sohn,ist buschscheu genug; wenn der,5,"transfer(majorin, audience, child_of(CHILD[MAJOR], majorin))",false
183125,183154," 
          
            LISE.","O pfui, Herr, was machen Sie?","LÄUFFER.
            Noch einm",6,"transfer(lise, [laeuffer, audience], !in_love_with(lise, laeuffer))",false
204296,204323,"  
            DER ALTE PÄTUS.",Was denn? Du auch verliebt?,Mit Freuden erlaub ich dir all,7,"transfer(paetus, [der_alte_paetus, geheimer_rat, major], in_love_with(paetus, LOVER[PAETUS]))",false
12001,12067,"h habe nicht  darnach gefragt,","ja doch,
              ich glaub es fast: er heißt ja auch Läuffer",; nun denn ist er freilich noc,8,"transfer(majorin, graf_wermuth, parent_of(pastor, laeuffer), uncertain)",false
25754,25775,"
          
            FRITZ.","Ich, gnädigster Papa?","GEHEIMER RAT.
            Ich?",9,"transfer(fritz, audience, child_of(fritz, geheimer_rat))",false
