begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
220224,220240,Zweite Szene,Zweite Szene,-1,-1,nd                ergreifend.,Lieber Herr Graf,", es reift keine Seligkeit unt",0,"transfer(karl_von_moor, amalia, identity(karl_von_moor, ""Graf von Brand""))",false
51469,51526,Zweite Szene,Zweite Szene,-1,-1,"            väterlichen Haine,",in den Armen meiner Amalia lockt mich ein edler Vergnügen,. Schon              die vori,1,"transfer(karl_von_moor, [audience, spiegelberg], in_love_with(karl_von_moor, amalia))",false
204064,204073,Zweite Szene,Zweite Szene,-1,-1,"                   KOSINSKY.",Kosinsky.,MOOR.            Wie Kosinsky,2,"transfer(kosinsky, [karl_von_moor, schweizer, spiegelberg], identity(FREMDER MANN, ""Kosinsky""))",false
183273,183283,Erste Szene,Erste Szene,-1,-1,über ich dich vernehmen wollte,Maximilian,– ist schlafen              g,3,"transfer(franz_von_moor, audience, has_name(der_alte_moor, ""Maximillian von Moor""))",false
76865,77091,Dritte Szene,Dritte Szene,-1,-1,"irst,                Stolz. –","Hasse mich! Ich müßte feuerrot werden vor Scham, wenn ich an              Karln denke und mir eben einfiel', daß du mich nicht hassest. Du versprichst mirs              doch? – Itzt geh, und laß mich, ich bin so gern allein!",FRANZ.            Allerliebst,4,"transfer(amalia, [audience, franz_von_moor], !in_love_with(amalia, franz_von_moor))",false
53274,53294,Zweite Szene,Zweite Szene,-1,-1,"                     MOOR.",Meines Bruders Hand!,SCHWARZ.            Was treib,5,"transfer(karl_von_moor, [spiegelberg, schweizer, grimm, roller, schufterle, razmann, schwarz], siblings(karl_von_moor, SIBLING[KARL_VON_MOOR]))",false
10330,10366,document,document,-1,-1," Libertiner, nachher Banditen.","Hermann, Bastard von einem Edelmann.","Daniel, Hausknecht des Grafen ",6,"transfer(""Figurentafel"", audience, child_of(hermann, PARENT[HERMANN]))",false
77736,77748,Dritte Szene,Dritte Szene,-1,-1," Welt              gestehen –",ich lieb ihn,"!                        ",7,"transfer(amalia, [audience, franz_von_moor], in_love_with(amalia, karl_von_moor))",false
277599,277628,Fünfte Szene,Fünfte Szene,-1,-1,"   springt erschrocken zurück.",Das ist meines Vaters Stimme!,DER ALTE MOOR.            Hab,8,"transfer(""Stimme"", karl_von_moor, identity(STIMME-AUS-TURM, der_alte_moor))",false
116695,117032,Zweite Szene,Zweite Szene,-1,-1,",              siehst du nun?","Er schriebs mit erstarrender Hand, schriebs mit dem warmen Blut seines              Herzens, schriebs an der Ewigkeit feierlichem Rande! sein fliehender Geist verzog,              Franz und Amalia noch zusammenzuknüpfen.                              AMALIA.            Heiliger Gott! es ist seine Hand. – Er hat mich nie geliebt!","Schnell                ab.  ",9,"transfer(amalia, [audience, franz_von_moor, der_alte_moor], transfer(""Blut auf Schwert"", amalia, !in_love_with(karl_von_moor, amalia)))",false
