begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
74982,75033,Der fünfte Auftritt,Der fünfte Auftritt,-1,-1,"ie Lucien nicht wieder lieben,",daß Ihr ganzes Herz              meiner Amalie ist,. Ihre ganze Aufführung verdie,0,"transfer(robert, karl, knowledge(willhelm, in_love_with(karl, amalie)))",false
6593,6652,Der erste Auftritt,Der erste Auftritt,-1,-1,"nd der Lucie, wenn sie liebet.","Wen könnte sie sonst              lieben, als meinen Sohn?",ROBERT.            Deinen Soh,1,"transfer(karl, [robert, audience), in_love_with(lucie, karl))",false
209460,209526,Der siebente Auftritt,Der siebente Auftritt,-1,-1,"                     LUCIE.",Ihre Schwester! Ha! Lucie selbst weiß ihre Laster noch nicht alle.,Fürchterliche              Du,2,"transfer(lucie, audience, siblings(lucie, karl), suspicion)",false
107337,107366,Der vierte Auftritt,Der vierte Auftritt,-1,-1,"                     KARL.","Ewig der Ihrige, meine Lucie.","Sie gehen ab.              ",3,"transfer(karl, [betty, amalie, lucie], in_love_with(karl, lucie)",false
79500,79608,Der siebente Auftritt,Der siebente Auftritt,-1,-1,iner Unruhe voll Verzweiflung.,Bald hätte mein Vater durch meine              Unvorsichtigkeit meine ganze Liebe mit Lucien erfahren. Aber,"es ging alles gut,           ",4,"transfer(karl, jakob, !knowledge(willhelm, in_love_with(karl, lucie)))",false
114991,115019,Der achte Auftritt,Der achte Auftritt,-1,-1," lieben sollte? Gütigster Sir!",Ich              liebe sie.,Sollte ich sie nicht bloß desw,5,"transfer(karl, [willhelm, robert] in_love_with(karl, lucie))",false
92015,92249,Der erste Auftritt,Der erste Auftritt,-1,-1,ht              gleichgültig.,"Aber ich schwöre Ihnen, ich empfand von dem Augenblicke an, da ich Ihre              und meine Pflichten kennenlernete, nichts als Freundschaft. Ich biete Ihnen heute              diese Freundschaft noch einmal an. Wollen Sie diese?",KARL.            Sagen Sie me,6,"transfer(amalie, [audience, karl], !in_love_with(amalie, karl))",false
78654,78680,Der siebente Auftritt,Der siebente Auftritt,-1,-1,rzeiht deiner Unverschämtheit.,"Wisse, Amalie liebet mich.","Nur noch eine kleine Zeit, so ",7,"transfer(karl, jakob, in_love_with(amalie, karl))",false
106496,106623,Der vierte Auftritt,Der vierte Auftritt,-1,-1,ir nicht immer noch ein Traum?,Habe ich nicht              aus dem Munde des Sir Roberts selbst die Neigung seiner Tochter gegen Karln              gehöret?,"KARL.            Ach! Lucie, ",8,"transfer(lucie, [amalie, karl, betty], transfer(robert, lucie, in_love_with(amalie, karl))",false
66726,66772,Der dritte Auftritt,Der dritte Auftritt,-1,-1,"                     AMALIE.",Ist er ungerührt gegen den Wert ihres Herzens.,Aber er wird es nicht länger s,9,"transfer(amalie, robert, !in_love_with(karl, lucie))",false
38076,38179,Der sechste Auftritt,Der sechste Auftritt,-1,-1,l ist              undankbar.,"Er verläßt mich und ist bereit, eine neue Gemahlin von der Hand seines              Vaters anzunehmen.",AMALIE.            Vielleicht,10,"transfer(lucie, amalie, engaged(karl, FIANCEE[KARL]))",false
211610,211655,Der siebente Auftritt,Der siebente Auftritt,-1,-1,"für dich, wenn es Bosheit ist?","Aber              wie, wenn es Wahrheit wäre","? Unsinnige Furcht! sie kann, ",11,"transfer(karl, audience, siblings(karl, lucie), suspicion)",false
39061,39089,Der sechste Auftritt,Der sechste Auftritt,-1,-1,"        Unglückliche Freundin!",du siehst sie hier vor dich.,Zu Lucien.              Verge,12,"transfer(amalie, lucie, identity(FIANCEE[KARL], amalie))",false
13636,13663,Der zweite Auftritt,Der zweite Auftritt,-1,-1," erweisen zu dürfen? Ich weiß,",Sie sind mein andrer Vater.,"Aber vergeben Sie, die Natur ",13,"transfer(lucie, [wilhelm, audience], fosterparent_of(wilhelm, lucie))",false
384,398,Personen des Stücks.,Personen des Stücks.,-1,-1,"n der Lucie.          Robert,",Amaliens Vater,"und Freund des Sir Willhelms. ",14,"transfer(""Figurentafel"", audience, father_of(robert, amalie))",false
