begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
45530,45562,,,-1,-1,"ge, daß ich nie erwachen möge!","Ewana, meine Schwester wäre sie?",NERISSA.          Wie? Hör ic,0,"transfer(udohla, [audience, sultan, mangu, sino], identity(""Unbekannte"", ""Ewana""))",false
19106,19201,,,-1,-1,"                  NERISSA.","Warum muß ich, ich diese Schmerzen geben?            O fliehe mich! und such' ein ander Glück.","SULTAN.                    ",1,"transfer(""Unbekannte"", [sultan, sino], !in_love_with(""Unbekannte"", sultan))",false
2430,2443,,,-1,-1,"      Der sie ihm geben sollte",die er liebet,"Sprach finster er: »Heut darf ",2,"transfer(sino, audience, in_love_with(sultan, nerissa))",false
20735,20751,,,-1,-1,"        aufstehend zum Sultan.",Ich heiße Achmed,", bin dein Knecht, gebohren  ",3,"transfer(udohla, [audience, sultan, ""Unbekannte"", mangu, sino, elpa], identity(""Fremder"", ""Achmed""))",false
13789,13825,,,-1,-1,"zu meines Königs Füßen sinken,",Ihm sagen: Daß ich nicht Nerissa sey,",            Nicht seine Schw",4,"transfer(""Unbekannte"", audience, !identity(""Unbekannte"", nerissa))",false
23497,23540,,,-1,-1,"ich, und hab dich nie gesehen,",Denn meines Oheims Hoffnung warst du stets.,SINO.                     O,5,"transfer(udohla, audience, uncle_of(UNCLE[UDOHLA], udohla))",false
30606,30644,,,-1,-1,"                   UDOHLA.",Die einzge Schwester hat er nie gesehn,Dem Vater haben Räuber sie ent,6,"transfer(udohla, audience, siblings(udohla, SIBLING[UDOHLA]))",false
32214,32251,,,-1,-1,", so wie er sich dir genennet,","Es ist Bahadars, des Verräthers Sohn.","SULTAN.                    ",7,"transfer(mangu, sultan, identity(""Achmed"", ""Bahadar_child""))",false
45726,45764,Zweiter Akt,Zweiter Akt,-1,-1,"                     SINO.","Er ist dein Bruder, ist Bahadars Sohn.","Udohla eilt auf sie zu, sie si",8,"transfer(sino, [sultan, mangu, ""Ewana""], siblings(udohla, ""Ewana""))",false
15803,15838,,,-1,-1,"mir süß;            Und doch,",ich kann und werd ihn nimmer lieben,Weil meine Seele mich ihn flie,9,"transfer(""Unbekannte"", [audience, elpa], !in_love_with(""Unbekannte"", sultan))",false
3030,3081,,,-1,-1,"           Die Blutsverwandte,",seine eigne Schwester            Sich zu vermählen,", wider Pflicht und Recht,   ",10,"transfer(mangu, audience, siblings(sultan, nerissa))",false
35699,35894,,,-1,-1," diesen Siegel-Ring und Brief,","Worin Nerissa mir die Königs-Tochter schreibet            Wie tief sie nun bereue ihre Flucht,            Wie sie zurück sich zu dem Bruder sehne,            Wenn er verzeihen könne ihre That.","So spricht der Brief, und daß ",11,"transfer(mangu, sino, i!dentity(""Unbekannte"", nerissa))",false
40366,40496,,,-1,-1,"            Du bist noch hier?","Udohla! Weißt du nicht,            Daß du dem Sultan gänzlich bist verrathen?            Daß er es weiß, du seyst Bahadars Sohn?","Was du zu fürchten hast, nagst",12,"transfer(sino, audience, has_name(""Bahadar_child"", udohla))",false
8248,8293,,,-1,-1,"                    MANGU.",Soll man den Sohn auch noch verfolgen lassen?,Zwar ist er fast sechs Monde s,13,"transfer(mangu, audience, child_of(CHILD[BAHADAR], ""Bahadar"")) ",false
45172,45213,,,-1,-1,"ers Blut belastet deine Seele,","Bahadars Tochter ists, die vor dir steht.","SULTAN.          O Allah!   ",14,"transfer(""Unbekannte"", [audience, sultan, udohla, mangu, sino], !identity(nerissa, ""Bahadar_child""))",false
23609,23618,,,-1,-1,"                     SINO.",O Usbeck!,Lebt er noch! Der Theure! Gute,15,"transfer(sino, audience, identity(UNCLE[UDOHLA], ""Usbeck""))",false
2092,2262,,,-1,-1,"t beginnen sollte, nie begann.","Schon dreimal war der Morgen angebrochen,            An dem Nerissa unserm Herrn vermählt            Und Sultaninn sich zugesellen sollte            Den schönen Frauen",", die der Herr der Welt      ",16,"transfer(sino, audience, engaged(sultan, nerissa))",false
23058,23073,,,-1,-1,"ommen, geh! mich zu verrathen.",Ich bin Bahadar,", eures Feindes Sohn.        ",17,"transfer(""Achmed"", [audience, sino], identity(""Achmed"", ""Bahadar_child""))",false
