begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
314847,314869,"          
            NATHAN.",Heißt Leu von Filneck.,"TEMPELHERR.
            Wie?
 ",0,"transfer(nathan, tempelherr, has_name(tempelherr, ""Leu von Filneck""))",false
3105,3165," 
          
            DAJA.","Wenn sie
              Es wäre, würdet Ihr von mir es hören?","NATHAN.
            
         ",1,"transfer(daja, [audience, nathan], !dead(recha))",false
252578,252588,"  Wohl nicht, daß unter diesen",meine Frau,Mit sieben hoffnungsvollen Söh,2,"transfer(nathan, [auidence, klosterbruder], dead(SPOUSE[NATHAN]))",false
252673,252687,"              Befunden, die in",meines Bruders,"Hause,
              Zu dem ic",3,"transfer(nathan, [audience, klosterbruder], siblings(SIBLING[NATHAN], nathan))",false
316656,316711,"      
            TEMPELHERR.","Wie? auch den
              Habt Ihr gekannt? Auch den?","NATHAN.
            Er war mei",4,"transfer(nathan, [recha, saladin, sittah], dead(FATHER[TEMPELHERR]))",false
317562,317571,"          
            NATHAN.",Seid Ihr!,"TEMPELHERR.
            Ich? i",5,"transfer(nathan, [audience, tempelherr], siblings(tempelherr, recha))",false
302658,302683,stlichem Geblüte; sei getauft;,Sei Nathans Tochter nicht,"; er nicht mein Vater! –
     ",6,"transfer(recha, sittah, transfer(daja, recha, !child_of(recha, nathan)))",false
252578,252588,"  Wohl nicht, daß unter diesen",meine Frau,Mit sieben hoffnungsvollen Söh,7,"transfer(nathan, [audience, klosterbruder], spouses(SPOUSE[NATHAN], nathan))",false
176066,176166,"           So bring ihn her! –","Ich habe meiner Schwester
              Von diesem ihren Bruder, den sie nicht
              Gekannt",", so viel erzählet, daß ich si",8,"transfer(saladin, [audience, nathan], dead(BROTHER[SALADIN]))",false
281344,281436,"leiben. – Hört mich, Nathan! –","In dieser Gärung schlich mir Daja nach,
              Und warf mir ihr Geheimnis an den Kopf",",
              Das mir den Au",9,"transfer(tempelherr, nathan, transfer(daja, tempelherr, !parent_of(nathan, recha)))",false
